x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
313,1,1,728,1,3,2,1,2,880,1,1,3,0.4,NaN,4,4,2,0,0,1,0.20475,2,0,2.22044604925031e-16,6.77992190747225,0,0,0,0,0,0,0,0,0,0,0,5,1,2.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.4,0.4,1,3,0.1,0.4
313,1,2,728,2,1,1,2,2,1118,0,0,1,0.1,NaN,4,3,2,0,-2,1,0.0325,1,0.1,-1.7,7.01929665371504,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0.1,0.4
313,1,3,728,3,0,0,0,2,1133,0,0,0,3,NaN,4,2,2,0,-1,0,0,0,0,4,7.03262426102801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.4
313,1,4,728,4,0,0,0,2,740,0,0,0,3,NaN,4,1,2,0,0,0,0,0,0,4,6.60665018619822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.4
313,1,5,863,1,3,1,1,25,671,0,2,1,0.2,NaN,3,3,1,0,0,1,0.0549999999999999,2,0,-1.4,6.50876913697168,0,0,0,0,0,0,0,0,0,0,0,4,1,1.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.4,0.2,1,3,0.2,0.5
313,1,6,863,2,2,2,1,2,768,1,0,3,0.5,NaN,3,2,1,0,-1,1,0.15,0,-0.5,0.5,6.64378973314767,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,3,0.2,0.5
313,1,7,863,3,0,0,0,25,1209,0,0,0,3,NaN,3,1,1,0,-2,0,0,0,0,4,7.09754885061479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.2,0.5
313,1,8,721,1,3,1,2,2,971,0,2,0,0.1,NaN,3,3,2,0,0,0,-0.16875,2,0,-1.8,6.87832646829133,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.1,0,0,0.1,0.4
313,1,9,721,2,2,2,2,25,732,1,0,0,0.4,NaN,3,2,2,0,-1,1,0.15,0,-0.6,-1.2,6.59578051396131,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,0,0.1,0.4
313,1,10,721,3,0,0,0,2,755,0,0,0,0,NaN,3,1,2,0,-2,0,0,0,0,-2,6.62671774924902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.4
313,1,11,883,1,3,2,2,25,769,1,5,3,0.6,NaN,3,3,1,0,0,1,0.26,2,0,1,6.64509096950564,0,0,0,0,0,0,0,0,0,0,0,5,1,3.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.6,3,3,0.2,0.6
313,1,12,883,2,5,1,1,25,998,0,4,3,0.2,NaN,3,2,1,1,2,2,0,2,0,-1,6.90575327631146,1,0,0,0,0,0,0,0,0,0,0,5,3,3.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.6,0,3,3,0.2,0.6
313,1,13,883,3,4,1,2,2,916,0,3,3,0.2,NaN,3,1,1,1,-1,2,0,2,0,-1,6.82001636467413,1,0,0,0,0,0,0,0,0,0,0,5,2,2.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.4,0,3,3,0.2,0.6
313,1,14,275,1,2,2,1,2,765,1,0,4,0.4,NaN,5,5,2,0,-1,1,0.16431875,0,-0.6,0.4,6.63987583382654,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0.4,0,4,0.3,0.4
313,1,15,275,2,0,0,0,2,826,0,0,0,4,NaN,5,4,2,0,-2,0,0,0,0,6,6.71659477352098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,4,0.3,0.4
313,1,16,275,3,0,0,0,2,657,0,0,0,4,NaN,5,3,2,0,0,0,0,0,0,6,6.48768401848461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,4,0.3,0.4
313,1,17,275,4,0,0,0,2,721,0,0,0,4,NaN,5,2,2,0,0,0,0,0,0,6,6.58063913728495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,4,0.3,0.4
313,1,18,275,5,0,0,0,2,580,0,0,0,4,NaN,5,1,2,0,0,0,0,0,0,6,6.36302810354046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,4,0.3,0.4
313,1,19,755,1,3,2,2,25,580,1,1,4,0.6,NaN,4,4,1,0,0,1,0.2676,2,0,1.6,6.36302810354046,0,0,0,0,0,0,0,0,0,0,0,5,1,3.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.6,0,4,0.1,0.6
313,1,20,755,2,1,1,1,2,1793,1,1,0,0.1,NaN,4,3,1,0,-2,1,0.0317499999999999,1,0.1,-1.8,7.49164547360513,0,0,0,0,0,0,0,0,0,0,1,1,0,0.1,-0.9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0.1,0.6
313,1,21,755,3,1,2,1,2,920,1,5,4,0.6,NaN,4,2,1,0,0,1,0.6,1,0.6,1.6,6.82437367004309,0,0,0,0,0,0,0,0,0,0,1,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0.1,0.6
313,1,22,755,4,5,1,2,2,1046,0,4,0,0.1,NaN,4,1,1,1,4,2,0,2,0,-1.8,6.95272864462487,1,0,0,0,0,0,0,0,0,0,0,5,3,3.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0,0,4,0.1,0.6
313,1,23,865,1,3,2,2,25,715,1,1,2,0.5,NaN,4,4,1,0,-1,1,0.25,2,0,0,6.57228254269401,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,2,0.2,0.5
313,1,24,865,2,1,2,1,2,775,1,0,2,0.5,NaN,4,3,1,0,-2,1,0.5,1,0.5,0,6.65286302935335,0,0,0,0,0,0,0,0,0,0,1,3,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0.2,0.5
