model_name,description,n,logLik,parameters,BIC,delta_BIC,BIC_weight,AIC,delta_AIC,AIC_weight,singular,convergence,warnings
factorial_policy,'multi-feature model',13674,-4258.5877306982975,13,8640.977730876753,0,1,8543.175461396595,0,1,FALSE,OK,
expected_energy_change,expected~energy~change,13674,-5406.3883369526175,3,10841.346428400657,2200.3686975239034,0,10818.776673905235,2275.60121250864,0,FALSE,OK,
p_success,italic(p)(success),13674,-5576.8214441838945,3,11182.212642863211,2541.2349119864575,0,11159.642888367789,2616.467426971194,0,FALSE,OK,
ternary_weather,ternary~state~'×'~weather~type,13674,-5580.88917814038,7,11228.441116770076,2587.463385893323,0,11175.77835628076,2632.602894884165,0,FALSE,OK,
weather_type,weather~type,13674,-6414.8120355491155,3,12858.193825593653,4217.2160947168995,0,12835.624071098231,4292.448609701636,0,FALSE,OK,
optimal_policy,Delta*italic(Q)~values,13674,-6445.929941467551,3,12920.429637430523,4279.45190655377,0,12897.859882935101,4354.684421538506,0,FALSE,OK,
ternary_state,ternary~state,13674,-7937.42106436041,4,15912.935134714715,7271.9574038379615,0,15882.84212872082,7339.666667324225,0,FALSE,OK,
gain_magnitude,gain~magnitude,13674,-7965.8433533437255,3,15960.256461182873,7319.2787303061195,0,15937.686706687451,7394.511245290856,0,FALSE,OK,
continuous_energy,continuous~energy~state,13674,-8187.254135337923,3,16403.078025171268,7762.100294294514,0,16380.508270675846,7837.332809279251,0,FALSE,OK,
remaining_time,remaining~days,13674,-8407.364695079046,3,16843.299144653512,8202.321413776759,0,16820.729390158092,8277.553928761497,0,FALSE,OK,
