model_name,description,n,logLik,parameters,BIC,delta_BIC,BIC_weight,AIC,delta_AIC,AIC_weight,singular,convergence,warnings
factorial_policy,'multi-feature model',5009,-2048.2294853431017,13,4207.2058611398525,0,1,4122.458970686203,0,1,FALSE,OK,
ternary_weather,ternary~state~'×'~weather~type,5009,-2180.8403002939835,7,4421.31354160147,214.10768046161775,3.2144592253279684e-47,4375.680600587967,253.22162990176366,1.0318622338230341e-55,FALSE,OK,
expected_energy_change,expected~energy~change,5009,-2375.1431916784836,3,4775.84335807704,568.6374969371873,3.326108701766664e-124,4756.286383356967,633.8274126707638,2.3234113096397635e-138,FALSE,OK,
optimal_policy,Delta*italic(Q)~values,5009,-2454.119668577137,3,4933.796311874346,726.590450734494,1.670660948730439e-158,4914.239337154274,791.7803664680705,1.1670191478685193e-172,FALSE,OK,
weather_type,weather~type,5009,-2507.6453666274197,3,5040.847707974912,833.6418468350594,9.483595413446099e-182,5021.290733254839,898.8317625686359,6.624646039964037e-196,FALSE,OK,
p_success,italic(p)(success),5009,-2531.026079970245,3,5087.609134660563,880.4032735207102,6.650560218491609e-192,5068.05215994049,945.5931892542867,4.645665013556644e-206,FALSE,OK,
ternary_state,ternary~state,5009,-2555.8533991202753,4,5145.782764533981,938.5769033941287,1.5510114611980151e-204,5119.706798240551,997.2478275543472,2.8208870790814182e-217,FALSE,OK,
gain_magnitude,gain~magnitude,5009,-2652.8996643727264,3,5331.356303465525,1124.1504423256729,7.831285092242774e-245,5311.799328745453,1189.3403580592494,5.470445491653866e-259,FALSE,OK,
continuous_energy,continuous~energy~state,5009,-2691.3673158545125,3,5408.291606429098,1201.085745289245,1.5400834862755615e-261,5388.734631709025,1266.2756610228216,1.075805907335947e-275,FALSE,OK,
remaining_time,remaining~days,5009,-2788.190495866371,3,5601.937966452814,1394.7321053129617,1.373319113943355e-303,5582.380991732742,1459.9220210465382,9.59315e-318,FALSE,OK,
