model,description,BIC,delta_BIC,BIC_weight,AIC,delta_AIC,AIC_weight
choice ~ BNW_conditions*x7_weather_type + x14_p_foraging_gain,ternary state * weather type * $\mathit{p}$ success,6651.411212417018,0.0,1.0,6134.157990950554,0.0,1.0
choice ~ BNW_conditions*x7_weather_type,ternary state * weather type,7329.782699160302,678.3714867432845,4.937456852606681e-148,6915.980121987132,781.822131036578,1.6962166834868373e-170
choice ~ x22_optimal_policy,optimal policy values,8800.888344841529,2149.477132424511,0.0,8593.987056254944,2459.8290653043896,0.0
choice ~ BNW_conditions,ternary state,10152.678882846729,3501.267670429711,0.0,9945.777594260147,3811.619603309593,0.0
choice ~ x7_weather_type,weather type,10316.513638017745,3665.1024256007267,0.0,10109.612349431158,3975.4543584806033,0.0
choice ~ x14_p_foraging_gain,$\mathit{p}$ success,10744.613307464391,4093.2020950473734,0.0,10537.71201887781,4403.554027927255,0.0
choice ~ x6_continuous_energy_trial_start,continuous energy state,10978.711507044469,4327.300294627451,0.0,10771.810218457886,4637.652227507331,0.0
choice ~ x24_pseudo0x2Doptimal_horizon0x2D1,pseudo optimal values,11790.594385662185,5139.183173245167,0.0,11583.693097075604,5449.535106125049,0.0
choice ~ x13_gain_magnitude,gain magnitude,11982.299991387903,5330.888778970885,0.0,11775.398702801314,5641.24071185076,0.0
choice ~ x17_horizon_correct_adjusted,remaining time-points,12154.78887425004,5503.377661833022,0.0,11947.887585663459,5813.729594712904,0.0
